College Name,Course Name,Category,Rank,Percentage
"1002 Government College of Engineering, Amravati (Government Autonomous)",Civil Engineering,GSEBC,3675,88.37
"1002 Government College of Engineering, Amravati (Government Autonomous)",Civil Engineering,EWS,7341,85.13
"1002 Government College of Engineering, Amravati (Government Autonomous)",Information Technology,LSC,6068,86.13
"1002 Government College of Engineering, Amravati (Government Autonomous)",Electrical Engineering,CAP,4910,87.16
"1002 Government College of Engineering, Amravati (Government Autonomous)",Electrical Engineering,II,3289,88.79
"1002 Government College of Engineering, Amravati (Government Autonomous)",Electrical Engineering,AY,4367,87.67
"1002 Government College of Engineering, Amravati (Government Autonomous)",Electronics and Telecommunication Engg,VII,10493,83
"1002 Government College of Engineering, Amravati (Government Autonomous)",Mechanical Engineering,LSEBC,48971,52.12
"1005 Sant Gadge Baba Amravati University,Amravati (University Department)",Petro Chemical Engineering,VII,11892,82.11
"1012 Government College of Engineering,Yavatmal (Government)",Civil Engineering,CAP,6760,85.58
"1012 Government College of Engineering,Yavatmal (Government)",Civil Engineering,II,24302,75.32
"1012 Government College of Engineering,Yavatmal (Government)",Civil Engineering,AY,16189,79.58
"1012 Government College of Engineering,Yavatmal (Government)",Computer Engineering,VII,2642,89.56
"1012 Government College of Engineering,Yavatmal (Government)",Electrical Engineering,CAP,6395,85.89
"1012 Government College of Engineering,Yavatmal (Government)",Electrical Engineering,II,7856,84.74
"1012 Government College of Engineering,Yavatmal (Government)",Electrical Engineering,AY,7593,84.94
"1012 Government College of Engineering,Yavatmal (Government)",Electronics and Telecommunication Engg,VII,7914,84.71
"1012 Government College of Engineering,Yavatmal (Government)",Mechanical Engineering,CAP,19399,77.79
"1012 Government College of Engineering,Yavatmal (Government)",Mechanical Engineering,II,27270,73.85
"1012 Government College of Engineering,Yavatmal (Government)",Mechanical Engineering,AY,32986,71.13
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Information Technology,LOBC,3315,88.74
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Electronics and Telecommunication Engg,VII,10410,83.05
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Mechanical Engineering,CAP,14921,80.31
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Mechanical Engineering,II,23047,75.95
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Mechanical Engineering,AY,17503,78.87
"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",Civil Engineering,GOPEN,17816,78.68
"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",Civil Engineering,GST,41482,66.53
"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",Civil Engineering,GOBC,18251,78.42
"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",Civil Engineering,LOPEN,18753,78.16
"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",Computer Science and Engineering,CAP,5161,86.94
"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",Computer Science and Engineering,II,17077,79.11
"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",Computer Science and Engineering,AY,12794,81.54
"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",Information Technology,VII,7147,85.26
"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",Artificial Intelligence (AI) and Data Science,CAP,8771,84.11
"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",Artificial Intelligence (AI) and Data Science,II,8755,84.11
"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",Artificial Intelligence (AI) and Data Science,AY,9713,83.49
"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",Industrial IoT,VII,21297,76.8
"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",Electronics and Telecommunication Engg,CAP,5610,86.53
"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",Electronics and Telecommunication Engg,II,24727,75.12
"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",Electronics and Telecommunication Engg,AY,39829,67.56
"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",Mechanical Engineering,VII,24114,75.42
"1107 P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",Civil Engineering,CAP,16926,79.2
"1107 P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",Civil Engineering,II,24964,75
"1107 P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",Civil Engineering,AY,18800,78.11
"1107 P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",Computer Science and Engineering,GST,42082,66.11
"1107 P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",Computer Science and Engineering,GSEBC,14917,80.31
